1000,313,262.6400079458074
2000,581,590.9846630293954
3000,868,993.580858129094
4000,1175,1486.1274781189886
5000,1485,2033.1378752863723
6000,1777,2626.2013099189553
7000,2090,3275.6302191733766
8000,2427,4010.7044254093944
9000,2575,4577.5065751569455
10000,2956,5401.3223466859745
11000,3278,6229.622822491017
12000,3537,7016.300897572294
13000,3884,7947.155137797057
14000,4163,8832.469484890078
15000,4424,9725.837330255168
16000,4775,10764.268719495258
17000,5124,11839.132995546608
18000,5380,12805.205583453235
19000,5659,13811.999263835516
20000,5929,14846.786801763432
21000,6257,15981.148496129603
22000,6513,17043.718634415767
23000,6775,18132.760963537505
24000,7041,19262.560551371404
25000,7273,20347.33229298469
26000,7606,21612.272983288298
27000,8061,23126.96069944981
28000,8310,24327.927618312016
29000,8667,25728.819915702778
30000,8906,26957.3431172893
31000,9333,28537.612761311768
32000,9508,29681.368993074964
33000,9777,31003.121571387735
34000,10106,32453.705149919486
35000,10497,34069.89437883498
36000,10764,35486.52146478398
37000,11008,36841.95417761197
38000,11456,38614.80906792904
39000,11682,40002.977989283856
40000,11893,41347.41156249655
41000,12152,42811.11840404427
42000,12621,44728.23339094039
43000,12724,45909.80977863793
44000,13081,47603.795635191615
45000,13346,49154.15516965703
46000,13571,50618.51272095519
47000,14051,52647.83687467022
48000,14416,54478.40499519221
49000,14453,55601.33718033837
50000,14856,57516.172797630454
