DLL size: 36000
------------------------------------------------------------------------------------------------------------
Search,17889,cost,0
Search,14618,cost,2535
Search,13438,cost,0
Search,13940,cost,0
Search,13466,cost,18880
Search,2843,cost,0
Search,3410,cost,1299
Search,10776,cost,95
Search,12336,cost,13417
Search,14926,cost,14044
Search,12904,cost,9333
Search,9813,cost,2900
Search,1807,cost,2353
Search,4956,cost,2514
Search,2331,cost,4188
Search,1417,cost,17749
Search,1532,cost,30716
Search,8642,cost,4576
Search,4883,cost,14186
Search,1694,cost,246
Search,4911,cost,10312
Search,10434,cost,10855
Search,14447,cost,27393
Search,11771,cost,6116
Search,11790,cost,28073
Search,13891,cost,22910
Search,9012,cost,7647
Search,16935,cost,4207
Search,10148,cost,6488
Search,12854,cost,4480
Search,13439,cost,19374
Search,10555,cost,23437
Search,13760,cost,10139
Search,8358,cost,0
Search,342,cost,3746
Search,15459,cost,9936
Search,3322,cost,4241
Search,6875,cost,17048
Search,10253,cost,0
Search,7057,cost,5022
Search,2080,cost,9206
Search,10539,cost,6386
Search,5381,cost,3991
Search,4973,cost,0
Search,7391,cost,8437
Search,12477,cost,772
Search,830,cost,0
Search,29,cost,8321
Search,6445,cost,9019
Search,1148,cost,9766
Search,3293,cost,5343
Search,8957,cost,2480
Search,4515,cost,259
Search,7540,cost,12003
Search,13945,cost,30758
Search,16076,cost,0
Search,16329,cost,7425
Search,9468,cost,14673
Search,15184,cost,2525
Search,243,cost,0
Search,2457,cost,20268
Search,17567,cost,2006
Search,10646,cost,3213
Search,6514,cost,2185
Search,17173,cost,35587
Search,9705,cost,11796
Search,5949,cost,5929
Search,664,cost,863
Search,15028,cost,0
Search,16267,cost,10542
Search,10384,cost,1097
Search,11342,cost,9568
Search,3543,cost,17723
Search,507,cost,0
Search,16297,cost,286
Search,4273,cost,14903
Search,12298,cost,0
Search,14076,cost,6233
Search,14051,cost,35201
Search,4827,cost,30759
Search,13446,cost,2396
Search,11285,cost,22385
Search,13257,cost,6372
Search,15565,cost,33519
Search,3364,cost,20403
Search,8016,cost,13299
Search,2157,cost,2847
Search,12523,cost,32730
Search,10252,cost,5979
Search,7825,cost,1890
Search,4997,cost,19128
Search,8308,cost,7075
Search,10347,cost,4
Search,10129,cost,12369
Search,12688,cost,13042
Search,17036,cost,18570
Search,6163,cost,1192
Search,11526,cost,6215
Search,2295,cost,8971
Search,14663,cost,24354
Search,12412,cost,7173
Search,10481,cost,10830
Search,10254,cost,2919
Search,7300,cost,14659
Search,12776,cost,29433
Search,12371,cost,655
Search,15081,cost,21622
Search,628,cost,13048
Search,14277,cost,6210
Search,15644,cost,31840
Search,3819,cost,0
Search,12631,cost,15483
Search,5851,cost,0
Search,14210,cost,885
Search,10714,cost,8388
